Date,Source,Feedback Text,Sentiment Score,Product/Service Category,Rating
12/11/2023,Review Site,Received damaged item.,Negative,Product Quality,2
11/12/2023,Social Media,Customer support was rude.,Neutral,Delivery Service,4
2/8/2024,Social Media,Would not recommend.,Negative,Product Quality,2
2/27/2024,Survey,Shipping took too long.,Neutral,Product Quality,4
12/19/2023,Social Media,Not happy with the product quality.,Neutral,Website Experience,4
1/16/2024,Social Media,Customer support was rude.,Positive,Website Experience,1
10/20/2024,Survey,Excellent customer support!,Negative,Website Experience,5
8/31/2024,Social Media,Disappointed with product durability.,Neutral,Delivery Service,5
3/3/2024,Review Site,Very helpful support team.,Neutral,Delivery Service,3
4/6/2024,Survey,Would not recommend.,Positive,Website Experience,2
2/3/2024,Social Media,Fast delivery and great service!,Neutral,Website Experience,4
1/10/2024,Survey,Would not recommend.,Negative,Delivery Service,2
7/25/2024,Survey,Love the product quality!,Negative,Customer Support,4
11/1/2024,Survey,Would not recommend.,Negative,Delivery Service,1
3/19/2024,Review Site,Not happy with the product quality.,Neutral,Delivery Service,3
5/18/2024,Review Site,Customer support was rude.,Neutral,Website Experience,2
6/11/2024,Review Site,Delivery was faster than expected.,Positive,Product Quality,4
2/6/2024,Review Site,Fast delivery and great service!,Positive,Product Quality,4
12/18/2023,Social Media,Not happy with the product quality.,Positive,Delivery Service,2
1/27/2024,Survey,Very helpful support team.,Positive,Product Quality,3
8/9/2024,Survey,Customer support was rude.,Neutral,Product Quality,1
7/13/2024,Review Site,Excellent customer support!,Negative,Website Experience,4
1/11/2024,Survey,Customer support was rude.,Neutral,Delivery Service,5
4/1/2024,Survey,Customer support was rude.,Positive,Product Quality,3
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
